,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_mut_dist
390,Spain/HUD-67000055/2021,2021-03-21,P.1.12,226565,1,2,7,True,True,True,True,True,28512,149660,31339,P.1,B.1,179,2020-02-20,0
391,England/MILK-144970F/2021,2021-03-21,B.1.1.7,226586,4,2,8,True,True,True,True,True,27381,108603,147711,B.1.1.7,B.1.1.7,42699,2020-08-29,0
392,USA/MA-CDC-LC0031139/2021,2021-03-21,B.1.1,226900,2,2,8,True,True,True,True,False,14676,109178,225108,B.1,B.1.1,179,2020-02-20,21
393,USA/IL-CDC-LC0032728/2021,2021-03-22,B.1,227311,1,2,14,True,True,True,True,True,21600,214397,85934,B.1.429,B.1.1,179,2020-02-20,0
394,USA/NY-PRL-2021_03_25_00A11/2021,2021-03-22,B.1.1,227442,1,2,10,False,True,True,True,True,24914,3526,217744,B.1.1,B.1.1.7,3526,2020-03-19,4
395,USA/MI-CDC-LC0032690/2021,2021-03-22,B.1.1.7,227508,3,2,4,True,True,True,True,True,27972,75373,14893,B.1.1.7,B.1.1,179,2020-02-20,34
396,USA/GA-CDC-LC0032256/2021,2021-03-22,R.1,227806,3,3,10,False,True,True,True,False,5388,127526,131178,B.1.1.7,R.1,179,2020-02-20,0
397,USA/GA-CDC-LC0032256/2021,2021-03-22,R.1,227806,3,3,10,False,True,True,True,False,26604,131178,181559,R.1,B.1.526,179,2020-02-20,29
398,USA/NY-CDC-LC0032298/2021,2021-03-22,B.1.533,227893,2,2,11,False,True,True,True,True,23271,152699,219974,Unknown (R),B.1.526,179,2020-02-20,21
399,USA/NC-CDC-ASC210016589/2021,2021-03-23,B.1.623,228601,2,2,16,False,True,True,False,False,23709,189117,216031,Unknown,B.1,179,2020-02-20,0
400,Germany/un-RKI-I-071929/2021,2021-03-23,B.1.160,228647,1,2,6,True,True,True,True,True,16742,36977,201666,B.1.160,B.1.160,36977,2020-08-29,0
401,Germany/NW-RKI-I-076216/2021,2021-03-23,B.1.1.7,228780,5,2,4,True,True,True,True,True,28271,221126,213601,B.1.1.7,B.1.1.7,132381,2020-12-10,9
402,USA/WY-WPHL-21023275/2021,2021-03-23,B.1.234,228955,1,2,3,True,True,True,True,True,6441,7896,198389,B.1.1,B.1.234,179,2020-02-20,0
403,Slovakia/UKBA-2426/2021,2021-03-23,B.1.1.7,229482,14,2,11,False,True,True,True,True,27732,221343,143114,B.1.1.7,B.1.1.7,60174,2020-09-03,0
404,Germany/HH-RKI-I-061284/2021,2021-03-24,B.1.617.2,229998,178405,3,17,True,True,True,True,True,6539,204945,167942,B.1.617.2,B.1.177,5868,2020-02-21,0
405,Germany/HH-RKI-I-061284/2021,2021-03-24,B.1.617.2,229998,178405,3,17,True,True,True,True,True,21255,167942,204945,B.1.177,B.1.617.2,5868,2020-02-21,0
406,Slovenia/5C-018257-KP/2021,2021-03-24,B.1.258.17,230229,1,2,7,False,True,True,True,True,11674,226641,203556,B.1.258.17,B.1.258.17,57637,2020-10-19,7
407,Germany/un-RKI-I-061442/2021,2021-03-24,B.1.1.7,230419,1,2,6,True,True,True,True,True,27972,201998,146348,B.1.1.7,B.1.1.7,42699,2020-08-29,0
408,USA/NY-PRL-2021_03_25_00L23/2021,2021-03-24,B.1,230437,1,3,11,True,True,True,True,True,14120,188595,199703,B.1.1.7,B.1.526,179,2020-02-20,0
409,USA/NY-PRL-2021_03_25_00L23/2021,2021-03-24,B.1,230437,1,3,11,True,True,True,True,True,23604,199703,215926,B.1.526,B.1.1.7,179,2020-02-20,0
410,USA/VA-CDC-LC0032094/2021,2021-03-24,B.1.1.7,230784,1,2,5,True,True,True,True,True,3267,9461,65744,B.1,B.1.1.7,179,2020-02-20,0
411,Slovenia/21-6996/2021,2021-03-25,B.1.1.7,231530,3,2,4,True,True,True,True,True,28271,230676,139834,B.1.1.7,B.1.1.7,143431,2020-08-19,17
412,France/CVL-IPP08689/2021,2021-03-25,B.1.1,231571,1,2,10,True,True,True,True,True,28271,202914,100593,B.1,B.1.1.7,179,2020-02-20,0
413,Germany/BB-RKI-I-072520/2021,2021-03-25,B.1.1.7,231716,4,2,4,False,True,True,True,True,19390,193139,162973,B.1.1.7,B.1.1.7,42699,2020-08-29,12
414,USA/VA-CDC-LC0036914/2021,2021-03-25,B.1.36,231856,1,3,14,True,True,True,True,True,5653,229036,14087,B.1.36,B,1,2019-12-26,0
415,USA/VA-CDC-LC0036914/2021,2021-03-25,B.1.36,231856,1,3,14,True,True,True,True,True,17524,14087,229036,B,B.1.36,1,2019-12-26,0
416,USA/MA-CDC-LC0037218/2021,2021-03-26,B.1,232821,2,2,8,False,True,True,True,False,26681,216523,197103,B.1,B.1.429,6502,2020-03-10,20
417,Belgium/UZA-UA-CV2066033918/2021,2021-03-26,B.1.1.7,232921,1,2,6,False,True,True,True,False,28271,220956,176302,B.1.1.7,B.1.1.519,179,2020-02-20,60
418,Germany/SN-RKI-I-062950/2021,2021-03-26,B.1.1.7,233031,1,2,5,True,True,True,True,True,29769,217497,202390,B.1.1.7,B.1.1.317,179,2020-02-20,0
419,USA/WA-UW-68699/2021,2021-03-27,Q.3,233462,2,2,3,True,True,True,True,True,28280,233349,194714,Q.3,B.1.1.7,66406,2020-10-03,0
420,Australia/WA646/2021,2021-03-27,B.1.1.318,233871,1,2,7,True,True,True,True,True,20730,214692,224667,B.1.1.318,B.1.1.318,170498,2021-01-06,0
421,England/ALDP-149B5C8/2021,2021-03-28,B.1.1.7,234889,2,3,10,False,True,True,True,True,25562,225983,187525,B.1.1.7,B.1.1.7,60174,2020-09-03,0
422,England/ALDP-149B5C8/2021,2021-03-28,B.1.1.7,234889,2,3,10,False,True,True,True,True,26086,187525,164116,B.1.1.7,B.1.1.7,42699,2020-08-29,13
423,USA/CT-CDC-LC0036512/2021,2021-03-28,B.1.1.7,235093,3,2,17,False,False,False,False,False,20262,175497,219669,B.1.526,B.1.1.7,179,2020-02-20,0
424,India/ILSGS00961/2021,2021-03-28,B.1.617.2,235293,177649,2,25,False,True,True,True,False,21618,21605,229998,B.1.1,Unknown (R),179,2020-02-20,20
425,USA/IL-CDC-ASC210026153/2021,2021-03-29,B.1,236126,1,2,8,False,True,True,True,False,26058,50470,203510,B.1.1.7,B.1.2,179,2020-02-20,29
426,USA/OH-CDC-QDX23451686/2021,2021-03-29,B.1.1.7,236207,3,2,3,True,True,True,True,True,3562,156547,226284,B.1.1.7,B.1.1.7,42699,2020-08-29,0
427,USA/NJ-CDC-LC0038170/2021,2021-03-29,B.1.1.7,236425,2,2,6,True,True,True,True,True,28887,125404,234134,B.1.1.7,B.1.637,179,2020-02-20,0
428,Germany/SN-RKI-I-073848/2021,2021-03-29,B.1.1.7,236502,1,2,4,True,True,True,True,True,29769,228448,214174,B.1.1.7,B.1.1.317,179,2020-02-20,0
429,USA/NJ-CDC-LC0038898/2021,2021-03-29,B.1,236753,1,2,7,True,True,True,True,True,5581,225973,203825,B.1.637,B.1,6502,2020-03-10,0
430,Slovenia/17-022201-KR/2021,2021-03-30,B.1.1.7,237444,1,2,7,True,True,True,True,True,23604,233216,194342,B.1.1.7,Unknown (R),179,2020-02-20,0
431,USA/MA-CDC-LC0037076/2021,2021-03-30,B.1.1.7,237657,3,2,8,True,True,True,True,True,24914,216057,185413,B.1.1.7,B.1,179,2020-02-20,0
432,USA/FL-CDC-LC0037170/2021,2021-03-30,B.1.637,237865,5,2,8,True,True,True,True,True,27925,194507,70513,B.1.637,B.1,6502,2020-03-10,35
433,USA/NJ-CDC-LC0038257/2021,2021-03-31,B.1.1,238523,1,2,12,False,False,False,False,False,14676,234731,205384,B.1.1.7,Unknown (R),179,2020-02-20,0
434,USA/NJ-CDC-LC0037978/2021,2021-03-31,B.1.533,238541,1,2,12,False,False,False,False,False,21801,152699,237865,Unknown (R),Unknown (R),179,2020-02-20,0
435,USA/NY-CDC-LC0038191/2021,2021-03-31,B.1.1.7,238757,2,2,4,True,True,True,True,True,27972,236832,229212,B.1.1.7,B.1.1.7,143431,2020-08-19,0
436,USA/NY-CDC-LC0038465/2021,2021-03-31,B.1.533,238780,7,2,11,True,True,True,True,False,25517,162829,185248,Unknown (R),B.1,179,2020-02-20,36
437,USA/NJ-CDC-LC0038732/2021,2021-03-31,B.1.1.7,239171,1,2,3,True,True,True,True,False,27972,197567,162828,B.1.1.7,B.1.1,179,2020-02-20,26
438,USA/MD-CDC-LC0038516/2021,2021-04-01,B.1.533,239546,1,2,9,True,True,True,True,True,6954,228737,238780,B.1.1.7,Unknown (R),3526,2020-03-19,0
439,USA/ME-CDC-LC0040274/2021,2021-04-01,B.1,239896,1,2,10,True,True,True,True,True,26681,226084,97816,Unknown (R),B.1.429,179,2020-02-20,50
440,USA/NC-CDC-LC0037851/2021,2021-04-01,B.1.1.7,240205,1,3,11,False,True,True,True,True,24138,195646,199656,B.1.1.7,B.1.637,179,2020-02-20,10
441,USA/NC-CDC-LC0037851/2021,2021-04-01,B.1.1.7,240205,1,3,11,False,True,True,True,True,25785,199656,117291,B.1.637,B.1.1.7,179,2020-02-20,0
442,USA/VA-CDC-LC0041558/2021,2021-04-01,B.1.1.7,240262,3,2,10,False,True,True,True,False,28095,189117,233336,Unknown,B.1.1.7,119661,2020-08-09,32
443,Italy/TAA-1900552428/2021,2021-04-01,B.1.1.7,240484,3,2,5,True,True,True,True,True,23271,196633,153226,B.1.1.7,Unknown,143431,2020-08-19,0
444,USA/WI-CDC-LC0041578/2021,2021-04-02,B.1.1.7,240949,1,2,9,False,True,True,True,True,14120,186742,193233,Unknown (R),B.1.1.7,143431,2020-08-19,22
445,USA/VA-DCLS-4498/2021,2021-04-02,B.1.1.7,241156,2,2,8,True,True,True,True,True,26488,124064,183969,B.1.1.7,B.1.1.7,59925,2020-09-23,0
446,India/ILSGS00911/2021,2021-04-02,B.1.1.7,241284,1,2,8,False,True,True,True,True,28271,217311,143453,B.1.1.7,B.1.1.7,42699,2020-08-29,35
447,India/ILSGS00920/2021,2021-04-02,B.1.1.7,241459,1,2,9,True,True,True,True,True,26604,189518,230466,B.1.1.7,B.1.1.7,143431,2020-08-19,0
448,USA/ND-CDC-IBX453834454200/2021,2021-04-02,B.1,241549,1,2,11,False,True,True,True,True,25930,144047,208051,B.1.2,B.1.526,1484,2020-03-08,21
449,USA/WI-CDC-IBX283182192137/2021,2021-04-02,B.1.429,241680,1,3,8,True,True,True,True,True,28111,218323,167570,B.1.429,B.1.1.7,179,2020-02-20,0
450,USA/WI-CDC-IBX283182192137/2021,2021-04-02,B.1.429,241680,1,3,8,True,True,True,True,True,28887,167570,158740,B.1.1.7,B.1.429,179,2020-02-20,0
451,SouthKorea/KDCA2838/2021,2021-04-02,B.1.497,241682,1,3,10,False,True,True,True,False,11916,208109,149588,B.1.1.7,Unknown (R),179,2020-02-20,0
452,SouthKorea/KDCA2838/2021,2021-04-02,B.1.497,241682,1,3,10,False,True,True,True,False,27972,149588,118738,Unknown (R),B.1.258,179,2020-02-20,49
453,USA/WA-UW-2021040207875/2021,2021-04-02,R.1,241733,1,2,7,True,True,True,True,True,19839,127103,21679,R.1,B.1.1,179,2020-02-20,0
454,USA/NY-PRL-2021_0405_01G03/2021,2021-04-03,P.1,242203,4,3,11,True,True,True,True,True,21137,241897,238406,P.1,B.1.1.7,179,2020-02-20,0
455,USA/NY-PRL-2021_0405_01G03/2021,2021-04-03,P.1,242203,4,3,11,True,True,True,True,True,26149,238406,218056,B.1.1.7,P.1.14,179,2020-02-20,0
456,SouthKorea/KDCA2830/2021,2021-04-03,B.1.497,242373,2,2,3,True,True,True,True,True,20931,241649,207319,B.1.497,B.1.497,207319,2020-12-23,0
457,Switzerland/ZH-ETHZ-570224/2021,2021-04-03,B.1.1.7,242878,2,2,9,True,True,True,True,True,24506,189552,241112,Unknown,B.1.1.7,119661,2020-08-09,0
458,USA/OH-CDC-ASC210045017/2021,2021-04-04,B.1.2,243520,1,2,8,False,True,True,True,True,7675,191117,174450,B.1.2,B.1.2,117269,2020-09-13,14
459,USA/FL-CDC-LC0040201/2021,2021-04-04,B.1.1.7,243542,1,2,9,True,True,True,True,True,28887,192749,220528,Unknown (R),B.1.637,179,2020-02-20,0
460,Switzerland/BL-ETHZ-570310/2021,2021-04-04,B.1.1.7,243825,1,3,21,False,False,False,False,False,23604,162964,185224,B.1.1.7,B.1.258,179,2020-02-20,0
461,Switzerland/BL-ETHZ-570310/2021,2021-04-04,B.1.1.7,243825,1,3,21,False,False,False,False,False,27800,185224,178443,B.1.258,Q.7,179,2020-02-20,0
462,Germany/un-RKI-I-074208/2021,2021-04-04,Q.7,243891,4,2,4,True,True,True,True,True,5944,181182,202139,B.1.1.7,Q.7,42699,2020-08-29,0
463,USA/AR-CDC-LC0043779/2021,2021-04-04,B.1.1.7,244030,7,2,9,False,False,False,False,False,24914,227242,169279,B.1,B.1.1.7,179,2020-02-20,0
464,Germany/SN-RKI-I-085059/2021,2021-04-04,B.1.1.7,244125,1,2,6,True,True,True,True,True,29769,203128,223301,B.1.1.7,B.1.1.7,59925,2020-09-23,0
465,USA/IN-CDC-ASC210044901/2021,2021-04-04,B.1.1.7,244226,11,2,9,False,True,True,True,False,21295,180036,190316,B.1.1.7,B.1.1.7,179,2020-02-20,33
466,Cambodia/381152/2021,2021-04-05,B.1.617,244764,1,2,8,True,False,False,False,False,22917,11715,224781,B.1,B.1.617.1,179,2020-02-20,0
467,USA/GA-CDC-STM-000051722/2021,2021-04-05,B.1.1,244868,1,2,11,True,True,True,True,True,22879,10844,157979,B.1.1,B.1.1,5867,2020-02-22,0
468,USA/NH-CDC-LC0040300/2021,2021-04-05,B.1.526,244992,1,3,10,True,True,True,True,True,27925,179471,223232,B.1.526,B.1.1.7,179,2020-02-20,0
469,USA/NH-CDC-LC0040300/2021,2021-04-05,B.1.526,244992,1,3,10,True,True,True,True,True,28877,223232,241980,B.1.1.7,B.1.526,179,2020-02-20,0
470,USA/AK-CDC-LC0042932/2021,2021-04-06,B.1.1.7,245948,1,2,16,True,True,True,True,True,1738,227887,225825,B.1.1.519,B.1.1.7,179,2020-02-20,18
471,USA/CA-CDC-ASC210048221/2021,2021-04-06,P.1,246096,1,3,21,False,False,False,False,False,5388,223234,225910,B.1.1.7,P.1.17,179,2020-02-20,0
472,USA/CA-CDC-ASC210048221/2021,2021-04-06,P.1,246096,1,3,21,False,False,False,False,False,21137,225910,242202,P.1.17,P.1,179,2020-02-20,0
473,Italy/SIC-AOUMe200/2021,2021-04-06,B.1.1.7,246193,1,2,6,True,True,True,True,True,23063,188254,213104,B.1.1.7,Unknown (R),179,2020-02-20,0
474,Germany/SN-RKI-I-085094/2021,2021-04-06,B.1.1.7,246361,1,2,5,True,True,True,True,True,28271,184414,143453,B.1.1.7,B.1.1.7,42699,2020-08-29,11
475,USA/FL-CDC-ASC210048714/2021,2021-04-06,B.1.1.7,246446,1,3,15,True,True,True,True,True,23063,223478,203841,B.1.1.7,B.1.1.7,60174,2020-09-03,0
476,USA/FL-CDC-ASC210048714/2021,2021-04-06,B.1.1.7,246446,1,3,15,True,True,True,True,True,28271,203841,30467,B.1.1.7,B.1.2,179,2020-02-20,15
477,USA/GA-CDC-LC0040720/2021,2021-04-06,B.1.1.7,246461,1,2,6,True,True,True,True,False,27972,229684,229212,B.1.1.7,B.1.1.7,143431,2020-08-19,21
478,USA/WA-UW-2021040639524/2021,2021-04-06,B.1.1.7,246692,1,2,7,True,True,True,True,True,5986,10420,241771,B.1.1,B.1.1.7,179,2020-02-20,0
479,Germany/BE-IMB17256/2021,2021-04-07,B.1.1.7,247153,3,2,9,False,True,True,True,True,27972,244226,153058,Unknown (R),B.1.1.7,179,2020-02-20,8
480,India/AP-CCMB-BN971/2021,2021-04-07,B.1.617.2,247697,2,2,7,True,True,True,True,False,28271,240637,213624,B.1.617.2,B.1,179,2020-02-20,12
481,USA/FL-CDC-LC0040746/2021,2021-04-07,B.1.1.7,247881,4,2,4,True,True,True,True,False,25207,210102,211899,B.1.1.7,B.1,66406,2020-10-03,38
482,USA/FL-CDC-LC0040460/2021,2021-04-08,B.1.1.7,248831,1,2,3,True,True,True,True,False,27972,244090,162828,B.1.1.7,B.1.1,179,2020-02-20,26
483,Switzerland/GE-33803808/2021,2021-04-08,B.1.1.7,248951,1,2,23,False,False,False,False,False,11521,209006,172636,B.1.619,B.1.1.7,179,2020-02-20,0
484,USA/RI-CDC-ASC210052883/2021,2021-04-08,B.1.526,249012,1,3,8,True,True,True,True,True,22320,188640,169195,B.1.526,B.1,6502,2020-03-10,0
485,USA/RI-CDC-ASC210052883/2021,2021-04-08,B.1.526,249012,1,3,8,True,True,True,True,True,27739,169195,126422,B.1,B.1.526,6502,2020-03-10,19
486,Germany/RP-RKI-I-075879/2021,2021-04-08,B.1.1.7,249223,1,2,5,False,True,True,True,True,12073,163400,213770,B.1.1.7,B.1.1.7,60174,2020-09-03,9
487,USA/NY-CDC-LC0041338/2021,2021-04-09,R.1,249568,1,2,3,True,True,True,True,True,22017,240901,226663,R.1,R.1,227218,2021-02-24,0
488,USA/IN-CDC-LC0045888/2021,2021-04-09,B.1.1.7,249811,4,3,9,True,True,True,True,True,23664,241924,218572,B.1.1.7,B.1.526,179,2020-02-20,0
489,USA/IN-CDC-LC0045888/2021,2021-04-09,B.1.1.7,249811,4,3,9,True,True,True,True,True,27925,218572,223301,B.1.526,B.1.1.7,179,2020-02-20,21
490,Germany/NI-RKI-I-080471/2021,2021-04-09,B.1.1.7,249858,2,2,4,True,True,True,True,True,25606,234344,168437,B.1.1.7,B.1.1.7,59925,2020-09-23,12
491,Germany/un-RKI-I-078405/2021,2021-04-09,B.1.1.7,249956,4,2,3,True,True,True,True,True,26461,237467,247531,B.1.1.7,B.1.1.7,132381,2020-12-10,0
492,USA/DC-CDC-LC0043191/2021,2021-04-09,B.1,250095,1,2,9,True,True,True,True,True,23012,216038,174233,B.1,B.1.526,6502,2020-03-10,0
493,USA/WA-UW-2021040920097/2021,2021-04-09,Q.3,250289,13,2,33,False,True,True,True,True,5023,14351,245640,B.1.1,Q.3,179,2020-02-20,2
494,USA/MA-CDC-LC0040918/2021,2021-04-10,XC,251176,6,3,14,True,True,True,True,True,10029,244330,235293,B.1.617.2,Unknown (R),235293,2021-03-12,0
495,USA/MA-CDC-LC0040918/2021,2021-04-10,XC,251176,6,3,14,True,True,True,True,True,26767,235293,131178,Unknown (R),R.1,179,2020-02-20,25
496,USA/RI-CDC-LC0040960/2021,2021-04-10,B.1.526,251496,1,2,4,False,True,True,True,False,27972,126422,235093,B.1.526,Unknown (R),179,2020-02-20,42
497,USA/MA-CDC-LC0040807/2021,2021-04-10,B.1.1.7,251584,1,3,13,False,False,False,False,False,6954,242276,244330,B.1.1.7,B.1.617.2,179,2020-02-20,0
498,USA/MA-CDC-LC0040807/2021,2021-04-10,B.1.1.7,251584,1,3,13,False,False,False,False,False,16176,244330,233400,B.1.617.2,B.1.1.7,179,2020-02-20,0
499,India/TG-CCMB-BO718/2021,2021-04-11,B.1.617,252123,1,3,14,False,True,True,False,False,19305,11715,249414,B.1,B.1.617.1,179,2020-02-20,0
500,India/TG-CCMB-BO718/2021,2021-04-11,B.1.617,252123,1,3,14,False,True,True,False,False,27299,249414,247697,B.1.617.1,Unknown (R),204945,2021-03-04,0
501,India/AP-CCMB-BO757/2021,2021-04-11,B.1.617.1,252767,1,2,9,True,True,True,True,True,28271,249414,79410,B.1.617.1,B.1.236,179,2020-02-20,0
502,USA/NJ-CDC-ASC210056193/2021,2021-04-11,B.1.1.7,252843,2,2,10,True,True,True,True,True,24914,172867,181178,B.1.1.7,B.1.1.7,42699,2020-08-29,36
503,India/AP-CCMB-BO759/2021,2021-04-11,B.1.617.1,252965,1,3,9,False,True,True,True,False,11201,48472,248286,B.1.36,B.1.617.1,179,2020-02-20,41
504,India/AP-CCMB-BO759/2021,2021-04-11,B.1.617.1,252965,1,3,9,False,True,True,True,False,28099,248286,5930,B.1.617.1,B,1,2019-12-26,41
505,USA/MI-CDC-LC0046617/2021,2021-04-11,B.1.533,252989,3,3,17,False,False,False,False,False,20178,21777,245620,B.1,P.1,179,2020-02-20,0
506,USA/MI-CDC-LC0046617/2021,2021-04-11,B.1.533,252989,3,3,17,False,False,False,False,False,23525,245620,237865,P.1,Unknown (R),179,2020-02-20,0
507,USA/FL-CDC-LC0041323/2021,2021-04-11,B.1,253004,1,2,11,True,True,True,True,True,24138,176793,236889,B.1.637,B.1.621,179,2020-02-20,0
508,USA/TN-CDC-LC0041391/2021,2021-04-12,B.1.1.7,253213,9,2,3,True,True,True,True,False,27972,217217,162828,B.1.1.7,B.1.1,179,2020-02-20,26
509,USA/NY-PRL-2021_0414_00H17/2021,2021-04-12,B.1.1.7,253787,1,2,11,True,True,True,True,False,27972,251954,248189,B.1.1.7,B.1.1.7,179,2020-02-20,31
510,USA/OR-CDC-LC0044621/2021,2021-04-12,B.1.1.161,253789,1,4,19,False,True,True,True,False,13605,7932,214854,B.1.143,B.1.1.519,179,2020-02-20,36
511,USA/OR-CDC-LC0044621/2021,2021-04-12,B.1.1.161,253789,1,4,19,False,True,True,True,False,21306,214854,181430,B.1.1.519,B.1.526,179,2020-02-20,36
512,USA/OR-CDC-LC0044621/2021,2021-04-12,B.1.1.161,253789,1,4,19,False,True,True,True,False,25563,181430,212262,B.1.526,B.1.1.519,179,2020-02-20,11
513,USA/WA-UW-2021041207117/2021,2021-04-12,B.1.1.7,253988,1,2,5,False,True,True,True,True,21530,252967,250981,B.1.1.7,B.1.1.7,75373,2020-10-16,0
514,CzechRepublic/189848-21cs/2021,2021-04-12,B.1.1.7,254181,5,3,12,True,True,True,True,True,17561,168986,223896,B.1.1.7,B.1.1.7,60174,2020-09-03,0
515,CzechRepublic/189848-21cs/2021,2021-04-12,B.1.1.7,254181,5,3,12,True,True,True,True,True,26453,223896,226930,B.1.1.7,B.1.1.7,132381,2020-12-10,0
516,Slovakia/UVZ_PL14_D8_9044/2021,2021-04-12,B.1.1.7,254186,1,2,5,True,True,True,True,True,9073,247776,236454,B.1.1.7,B.1.1.7,60174,2020-09-03,0
517,France/IDF-HMN-21042190422/2021,2021-04-13,Q.7,254733,2,2,9,False,True,True,True,False,21766,222197,179981,B.1.1.7,B.1.1.7,60174,2020-09-03,42
518,USA/MD-CDC-LC0041211/2021,2021-04-13,B.1.1.7,254808,2,2,9,True,True,True,True,True,23159,248767,247881,B.1.1.7,Unknown (R),121052,2020-12-26,0
519,France/IDF-HMN-21042160226/2021,2021-04-13,B.1.1.7,254860,2,2,9,True,True,True,True,True,11288,101690,179981,B.1.1.7,B.1.1.7,60174,2020-09-03,0
520,France/IDF-HMN-21042160320/2021,2021-04-13,B.1.1.7,254905,1,2,10,True,True,True,True,True,21766,215994,179981,B.1.1.7,B.1.1.7,60174,2020-09-03,0
521,France/IDF-HMN-21042160175/2021,2021-04-13,B.1.1.7,255097,2,2,11,True,True,True,True,True,11288,237491,179981,B.1.1.7,B.1.1.7,60174,2020-09-03,0
522,France/IDF-HMN-21042160285/2021,2021-04-13,B.1.1.7,255130,4,2,9,True,True,True,True,True,21766,215994,179981,B.1.1.7,B.1.1.7,60174,2020-09-03,0
523,Germany/BY-RKI-I-090919/2021,2021-04-13,B.1.351,255325,7,2,5,True,True,True,True,True,27476,248404,209412,B.1.351,B.1.351,70730,2020-10-05,0
524,USA/IL-CDC-LC0048605/2021,2021-04-14,B.1.1.519,255755,1,2,5,True,True,True,True,True,23709,187198,122002,B.1.1.519,B.1.1.7,179,2020-02-20,0
525,USA/IL-CDC-LC0048216/2021,2021-04-14,B.1.1,255776,9,3,10,True,True,True,True,True,16176,186742,185364,Unknown (R),B.1,171705,2020-08-07,0
526,USA/IL-CDC-LC0048216/2021,2021-04-14,B.1.1,255776,9,3,10,True,True,True,True,True,27462,185364,253213,B.1,Unknown (R),171705,2020-08-07,0
527,USA/IL-CDC-LC0048418/2021,2021-04-14,B.1.1.7,256143,1,2,8,True,True,True,True,True,23271,192909,251151,Unknown (R),B.1.1.7,60174,2020-09-03,0
528,USA/TN-CDC-LC0047357/2021,2021-04-14,B.1.533,256265,2,2,9,True,True,True,True,True,21846,152699,217353,Unknown (R),Unknown,179,2020-02-20,0
529,Netherlands/OV-RIVM-28087/2021,2021-04-14,B.1.1,256359,1,2,16,False,True,True,False,False,23063,25894,180810,B.1.1.1,B.1,179,2020-02-20,0
530,USA/IN-CDC-LC0048175/2021,2021-04-14,B.1.2,256560,1,2,4,True,True,True,True,False,27964,131179,235093,B.1.2,Unknown (R),179,2020-02-20,35
531,USA/IL-CDC-LC0049370/2021,2021-04-14,B.1.1.7,256740,1,4,16,False,True,True,True,True,5388,248802,80321,P.1,B.1.1.7,179,2020-02-20,5
532,USA/IL-CDC-LC0049370/2021,2021-04-14,B.1.1.7,256740,1,4,16,False,True,True,True,True,21621,80321,210955,B.1.1.7,P.1,179,2020-02-20,8
533,USA/IL-CDC-LC0049370/2021,2021-04-14,B.1.1.7,256740,1,4,16,False,True,True,True,True,23709,210955,222275,P.1,B.1.1.7,179,2020-02-20,14
534,USA/WI-CDC-LC0049212/2021,2021-04-14,B.1.1.7,256748,1,2,3,True,True,True,True,True,27972,206791,162828,B.1.1.7,B.1.1,179,2020-02-20,36
535,USA/FL-CDC-LC0047660/2021,2021-04-15,B.1.1.7,257025,2,2,6,True,True,True,True,False,28280,237657,42699,Unknown (R),B.1.1.7,179,2020-02-20,29
536,USA/FL-CDC-LC0047400/2021,2021-04-15,P.1.10,257272,3,3,14,True,True,True,True,True,22812,222313,146566,P.1.10,B.1.1.7,179,2020-02-20,0
537,USA/FL-CDC-LC0047400/2021,2021-04-15,P.1.10,257272,3,3,14,True,True,True,True,True,26149,146566,244216,B.1.1.7,P.1,179,2020-02-20,0
538,USA/IN-CDC-LC0048804/2021,2021-04-15,P.1,257373,1,3,8,False,True,True,True,False,16176,228985,143431,P.1,B.1.1.7,179,2020-02-20,36
539,USA/IN-CDC-LC0048804/2021,2021-04-15,P.1,257373,1,3,8,False,True,True,True,False,22812,143431,234760,B.1.1.7,P.1,179,2020-02-20,30
540,USA/FL-CDC-LC0047740/2021,2021-04-15,B.1.533,257504,1,3,11,False,False,False,False,False,12162,227806,247200,Unknown (R),B.1.1.7,179,2020-02-20,0
541,USA/FL-CDC-LC0047740/2021,2021-04-15,B.1.533,257504,1,3,11,False,False,False,False,False,21137,247200,256264,B.1.1.7,B.1.533,42699,2020-08-29,0
542,USA/CA-CDC-STM-000056870/2021,2021-04-15,B.1.1.7,257599,2,2,7,True,True,True,True,True,27382,240288,121606,B.1.1.7,B.1.1.7,42699,2020-08-29,0
543,France/IDF-HMN-21042150615/2021,2021-04-15,B.1.1.7,257671,1,2,7,True,True,True,True,False,11288,255004,254860,B.1.1.7,Unknown (R),60174,2020-09-03,14
544,USA/CT-CDC-LC0047729/2021,2021-04-15,B.1.1.7,257841,1,2,3,True,True,True,True,True,3004,86354,255886,B.1.1.7,B.1.1.7,42699,2020-08-29,0
545,USA/NC-CDC-LC0047450/2021,2021-04-15,B.1.1.7,257923,3,2,8,False,True,True,True,False,24506,252614,249811,B.1.1.7,Unknown (R),179,2020-02-20,34
546,USA/WV-CDC-LC0048933/2021,2021-04-15,B.1.637,257991,1,2,8,False,True,True,True,True,25413,239437,186470,B.1.637,B.1,1484,2020-03-08,18
547,USA/IN-CDC-LC0048822/2021,2021-04-16,R.1,258248,1,2,4,True,True,True,True,True,19839,131178,227805,R.1,R.1,131178,2020-09-20,0
