,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,num_mutations,interval_left,interval_right,mrca,mrca_date
482,England/LIVE-DE6A05/2021,2021-01-19,B.1.1.7,241346,1,2,3,True,False,True,True,True,0,5389,12503,179,2020-02-20
483,Sweden/3992994669/2021,2021-06-07,Q.8,1299409,43,2,3,True,True,True,True,True,0,11297,12525,43626,2020-08-29
484,USA/NC-CDC-LC0052064/2021,2021-04-22,B.1.1.7,947659,1,2,5,True,True,True,True,True,2,11070,12525,43626,2020-08-29
485,Netherlands/NB-RIVM-30950/2021,2021-04-24,B.1.1.7,961387,1,2,6,True,True,True,True,True,3,10834,12534,43626,2020-08-29
486,Italy/CAM-AMES-4-12/2021,2021-02-12,B.1.177.75,367030,3,2,6,True,True,True,True,True,3,11783,12559,67411,2020-08-18
487,Germany/NW-RKI-I-128268/2021,2021-04-28,B.1.1.7,998040,1,2,6,True,True,True,True,True,3,4424,12594,43626,2020-08-29
488,USA/PA-CDC-LC0061216/2021,2021-05-12,B.1.637,1129120,1,2,9,True,True,True,True,True,6,11805,12628,6502,2020-03-10
489,Switzerland/SO-ETHZ-630087/2021,2021-05-14,B.1.1.7,1140837,2,2,14,True,True,True,True,False,11,5987,12748,723143,2020-08-10
490,India/KA-NIMH-SEQ-46/2020,2020-12-30,B.1.36.29,168786,3,2,10,True,True,True,True,True,7,9923,12765,164491,2020-10-08
491,Mexico/CMX-INMEGEN-02-01-01/2021,2021-01-23,B.1.1,257145,8,2,6,True,True,True,True,True,3,11431,12769,223140,2020-11-26
492,Spain/CT-HUVH-51900/2021,2021-01-26,B.1,273581,1,2,8,True,True,True,True,True,5,12440,12781,179,2020-02-20
493,USA/WA-CDC-UW21042129469/2021,2021-04-21,B.1.1,938580,3,2,11,True,True,True,True,True,8,11125,12789,179,2020-02-20
494,Mexico/CMX-IBT-IMSS-930/2021,2021-03-07,B.1.1.519,514055,2,2,11,True,False,True,True,True,8,11231,12789,127140,2020-12-08
495,USA/NY-PRL-2021_03_15_01G19/2021,2021-03-13,B.1.1,562817,2,2,3,True,True,True,True,False,0,11118,12789,179,2020-02-20
496,USA/IN-CDC-LC0059355/2021,2021-05-06,B.1.1.7,1077480,1,2,11,True,True,True,True,True,8,12050,12815,1,2019-12-26
497,USA/NY-PRL-2021_03_15_00D21/2021,2021-03-11,A.2.5,549509,4,2,14,True,True,True,True,True,11,11006,12815,7,2020-01-05
498,Brazil/RJ-LNN03959/2021,2021-06-29,P.1.4,1433760,1,2,4,True,True,True,True,False,1,11825,12823,260431,2021-01-22
499,SouthAfrica/NICD-N9323/2021,2021-06-09,B.1.617.2,1313337,1,2,9,True,True,True,True,True,6,9892,12828,591284,2021-02-27
500,Spain/CT-HUVH-93881/2021,2021-02-25,B.1.1.7,451909,1,2,7,True,True,True,True,True,4,12358,12865,43626,2020-08-29
501,USA/ME-CDC-LC0040274/2021,2021-04-01,B.1,741199,4,2,10,True,True,True,True,True,7,12101,12878,962,2020-03-07
502,USA/CA-CDC-STM-038/2020,2020-12-28,B.1.375,163732,1,2,4,True,True,True,True,True,1,8918,12880,133343,2020-10-03
503,India/MH-NS1125/2021,2021-04-06,B.1.617.2,781291,4,2,7,True,True,True,True,True,4,11419,12946,5868,2020-02-21
504,Germany/NW-RKI-I-087033/2021,2021-04-13,Q.1,852660,1,2,6,True,True,True,True,True,3,8987,12970,64512,2020-09-30
505,Turkey/HSGM-4038/2021,2021-02-11,B.1.1.7,361057,14,2,5,True,True,True,True,True,2,6955,12970,179,2020-02-20
506,Poland/Pomorskie_MWB_48/2021,2021-01-05,B.1.258,187693,1,2,17,True,True,True,True,True,14,8048,12988,179,2020-02-20
507,Slovenia/102014/2021,2021-02-25,B.1.177.83,451716,1,2,9,True,True,True,True,True,6,9444,13038,141922,2020-11-08
508,Italy/CAM-AMES-68-85/2021,2021-03-18,B.1.1,604972,2,2,13,True,True,True,True,True,10,9566,13059,179,2020-02-20
509,USA/OH-CDC-LC0019084/2021,2021-02-12,B.1.2,369207,1,2,8,True,True,True,True,True,5,12474,13201,179,2020-02-20
510,Turkey/HSGM-B18252/2021,2021-06-23,B.1.617.2,1394584,1,2,7,True,True,True,True,True,4,9054,13213,694601,2021-03-08
511,USA/IL-CDC-LC0036670/2021,2021-03-28,B.1.234,696163,1,2,6,True,True,True,True,True,3,12368,13326,179,2020-02-20
512,USA/CA-RD-RA02681/2021,2021-01-30,B.1.1,295797,2,2,5,True,True,True,True,True,2,10397,13326,197217,2020-09-04
513,Greece/14452/2021,2021-06-02,AZ.2,1263144,6,2,12,True,True,True,True,True,9,11701,13437,624927,2021-03-15
514,Italy/VEN-IZSVe-21RS22-11_TV/2021,2021-01-11,A.21,209948,1,2,20,True,True,True,True,True,17,8138,13517,119420,2020-07-14
515,USA/CT-CDC-LC0062683/2021,2021-05-22,B.1.637,1195340,1,2,5,True,True,True,True,False,2,8762,13533,141616,2020-12-18
516,Switzerland/GE-32971699/2021,2021-01-15,C.16,225696,4,2,18,True,True,True,True,True,15,13382,13536,179,2020-02-20
517,Germany/NW-RKI-I-152717/2021,2021-05-12,B.1.351,1124599,1,2,11,True,True,True,True,True,8,10834,13551,91592,2020-10-10
518,USA/TX-DSHS-5769/2021,2021-04-07,B.1.2,799152,1,2,8,True,True,True,True,True,5,6731,13554,112058,2020-10-24
519,England/RAND-14E2094/2021,2021-04-07,B.1.1.7,790699,1,2,5,True,True,True,True,True,2,6590,13564,133303,2020-12-12
520,USA/MA-CDC-LC0047810/2021,2021-04-14,B.1.623,869527,1,2,5,True,True,True,True,True,2,9121,13617,6502,2020-03-10
521,USA/NY-PRL-2021_03_05_00D21/2021,2021-03-03,B.1.623,492439,1,2,18,True,True,True,True,True,15,13459,13617,6502,2020-03-10
522,USA/MD-CDC-LC0044257/2021,2021-04-08,B.1.351,807795,1,2,5,True,True,True,True,False,2,10922,13620,112298,2020-11-20
523,Switzerland/un-32985235/2021,2021-01-16,B.1.160,228478,1,2,3,True,True,True,True,False,0,5630,13694,24990,2020-06-10
524,Brazil/SP-IB_103029/2021,2021-05-02,P.1,1031158,13,2,4,True,True,True,True,True,1,7765,13720,211623,2020-12-23
525,Sweden/5767338642/2021,2021-06-16,B.1.1.7,1347896,5,2,4,True,True,True,True,True,1,11297,13721,290247,2021-01-29
526,USA/CA-CDC-LC0059768/2021,2021-05-12,B.1.1.7,1127382,1,2,6,True,True,True,True,True,3,10835,13730,156824,2020-12-04
527,CzechRepublic/195572-21cs/2021,2021-05-10,B.1.1.7,1098860,2,2,6,True,True,True,True,True,3,6955,13733,64513,2020-09-14
528,USA/NC-CDC-LC0051982/2021,2021-04-22,B.1.1.7,947655,1,2,6,True,True,True,True,True,3,8803,13740,43626,2020-08-29
529,Turkey/HSGM-B18427/2021,2021-06-28,B.1.617.2,1430608,1,2,7,True,True,True,True,True,4,11223,13748,179,2020-02-20
530,Spain/PV-HUD-65125053/2021,2021-06-02,B.1.1.7,1264735,2,2,3,True,True,True,True,True,0,8184,13860,179,2020-02-20
531,Ecuador/NIC-INSPI-316908/2021,2021-05-12,B.1.1.7,1122662,4,2,13,True,True,True,True,True,10,11418,13860,85911,2020-10-06
532,USA/CO-CDC-LC0059147/2021,2021-05-07,B.1.1.7,1086104,1,2,3,True,True,True,True,True,0,10731,13890,169770,2020-12-24
533,USA/NY-PRL-03_08_00O05/2021,2021-03-06,B.1.2,511501,1,2,5,True,True,True,True,True,2,9929,13898,21563,2020-03-22
534,France/BFC-HMN-21062080470/2021,2021-06-02,B.1.1.7,1262415,1,2,14,True,True,True,True,True,11,12344,13899,43626,2020-08-29
535,Switzerland/SG-ETHZ-530261/2021,2021-03-10,B.1,539966,3,2,24,True,True,True,True,False,21,9892,13993,179,2020-02-20
536,USA/NY-PRL-2021_03_01_01O15/2021,2021-02-28,B.1.526,468365,1,2,3,True,True,True,True,True,0,12812,14037,179,2020-02-20
537,USA/CO-CDC-MMB08992623/2021,2021-05-28,B.1.1.7,1232918,2,2,5,True,True,True,True,True,2,12163,14053,43626,2020-08-29
538,USA/WA-CDC-UW21051978111/2021,2021-05-19,B.1.1.7,1179751,1,2,8,True,True,True,True,True,5,10083,14120,777027,2021-04-05
539,USA/VA-CDC-LC0066797/2021,2021-05-18,B.1.1.7,1172536,1,2,5,True,True,True,True,True,2,13552,14120,64513,2020-09-14
540,USA/IN-CDC-LC0068532/2021,2021-05-25,B.1.1.7,1213475,1,2,7,True,True,True,True,True,4,10196,14120,43626,2020-08-29
541,USA/MA-MASPHL-03493/2021,2021-04-21,B.1.526,936754,5,2,4,True,True,True,True,True,1,9868,14120,179,2020-02-20
542,USA/NC-CDC-LC0048763/2021,2021-04-15,B.1.533,880520,1,2,6,True,True,True,True,True,3,10196,14120,179,2020-02-20
543,Spain/CT-BST9925185807/2021,2021-03-30,B.1.1.7,717776,1,2,8,True,True,True,True,True,5,12810,14120,64513,2020-09-14
544,Turkey/HSGM-1396/2021,2021-01-20,B.1.1.7,246544,19,2,12,True,True,True,True,True,9,10817,14120,64513,2020-09-14
545,USA/TX-HMH-MCoV-31039/2021,2021-03-06,B.1.1.7,511757,3,2,7,True,True,True,True,True,4,7043,14120,64513,2020-09-14
546,USA/AZ-ASU2351/2021,2021-01-26,B.1.1.7,273977,4,2,5,True,True,True,True,True,2,12407,14120,179,2020-02-20
547,USA/WA-CDC-UW21052117805/2021,2021-05-21,B.1.1.7,1191920,1,2,5,True,True,True,True,True,2,11833,14213,553652,2021-03-12
548,Italy/CAL-TIGEM-IZSM-COLLI-10349/2021,2021-04-20,B.1.1.7,922320,2,2,3,True,True,True,True,False,0,11288,14220,64512,2020-09-30
549,France/IDF-IPP11370/2020,2020-12-28,B.1.367,163238,1,2,5,True,True,True,True,True,2,12074,14230,1484,2020-03-08
550,Turkey/HSGM-B18260/2021,2021-06-23,B.1.617.2,1394588,1,2,5,True,True,True,True,True,2,12947,14262,179,2020-02-20
551,Turkey/HSGM-B17303/2021,2021-06-17,B.1.617.2,1353991,4,2,8,True,True,True,True,True,5,9892,14262,179,2020-02-20
552,USA/MD-MDH-1142/2021,2021-02-09,R.1,347691,1,2,4,True,True,True,True,False,1,8861,14340,179,2020-02-20
553,Sweden/6125664950/2021,2021-05-30,B.1.1.7,1241639,9,2,4,True,True,True,True,True,1,11297,14352,64513,2020-09-14
554,USA/WV-CDC-LC0058859/2021,2021-05-03,B.1.1.7,1050162,1,2,6,True,True,True,True,False,3,7043,14388,3526,2020-03-19
555,USA/MI-CDC-LC0048972/2021,2021-04-13,B.1.637,858705,1,2,5,True,True,True,True,True,2,9892,14396,229158,2020-12-31
556,USA/RI-CDC-LC0041249/2021,2021-04-09,B.1,818989,2,2,5,True,True,True,True,False,2,10320,14407,179,2020-02-20
557,Belgium/Jessa_11-2122-005070ZOL/2021,2021-06-03,B.1.1.7,1266293,1,2,6,True,True,True,True,True,3,11957,14408,73582,2020-10-29
558,Mexico/NLE-/LESPNL-20210512-467/2021,2021-05-07,B.1.1.409,1083928,2,2,10,True,True,True,True,True,7,13861,14408,1,2019-12-26
559,CzechRepublic/192857-21cs/2021,2021-04-28,B.1.1.7,996254,1,2,3,True,True,True,True,True,0,10278,14408,178815,2020-12-26
560,CzechRepublic/192858-21cs/2021,2021-04-28,B.1.1.7,996256,1,2,5,True,True,True,True,True,2,10278,14408,486660,2021-01-11
561,CzechRepublic/188478-21cs/2021,2021-04-12,B.1.1.7,833278,1,2,12,True,True,True,True,False,9,9057,14408,179,2020-02-20
562,Belgium/UZA-UA-55904770/2021,2021-03-08,B.1,516689,1,2,7,True,True,True,True,True,4,9422,14408,179,2020-02-20
563,SouthAfrica/Tygerberg-411/2020,2020-12-05,B,115500,3,2,3,True,True,True,True,False,0,5231,14408,1,2019-12-26
564,Germany/BY-RKI-I-040984/2021,2021-02-17,B,398704,1,2,6,True,True,True,True,True,3,11522,14408,1,2019-12-26
565,Switzerland/BL-ETHZ-230023/2020,2020-08-03,B.1.1.70,24138,117,2,6,True,True,True,True,True,3,14485,14500,21744,2020-06-15
566,USA/NY-PRL-2021_03_02_00J02/2021,2021-02-28,B.1.1.7,468478,41,2,3,True,True,True,True,True,0,14179,14604,73676,2020-10-29
567,USA/WA-UW-2021040860316/2021,2021-04-08,B.1.1.7,809919,6,2,12,True,True,True,True,True,9,14121,14625,64513,2020-09-14
568,USA/MD-CDC-LC0060516/2021,2021-05-09,B.1.1.7,1097245,1,2,9,True,True,True,True,True,6,14121,14658,64513,2020-09-14
569,Germany/NW-RKI-I-182279/2021,2021-06-17,B.1,1352518,1,2,8,True,True,True,True,True,5,14409,14676,179,2020-02-20
570,USA/OK-CDC-LC0060437/2021,2021-05-18,B.1.1.7,1172227,1,2,3,True,True,True,True,True,0,14121,14676,64513,2020-09-14
571,USA/CO-CDC-MMB08812610/2021,2021-05-14,B.1.1.7,1141257,2,2,6,True,True,True,True,True,3,14221,14676,468982,2021-02-25
572,USA/OH-CDC-LC0064442/2021,2021-05-19,B.1,1179417,1,2,9,True,True,True,True,False,6,13945,14676,179,2020-02-20
573,USA/AZ-CDC-LC0059410/2021,2021-05-10,P.1,1109280,4,2,6,True,True,True,True,True,3,13861,14676,179,2020-02-20
574,USA/OR-UW-21052061767/2021,2021-05-20,B.1.1.7,1185925,1,2,6,True,True,True,True,True,3,10196,14676,64513,2020-09-14
575,USA/IN-CDC-LC0058618/2021,2021-05-07,P.1,1086668,2,2,5,True,True,True,True,True,2,13861,14676,5867,2020-02-22
576,USA/WA-UW-21042180520/2021,2021-04-21,B.1.429,938817,2,2,13,True,True,True,True,True,10,12879,14676,514933,2021-03-07
577,USA/CT-CDC-LC0048077/2021,2021-04-13,B.1.1.7,856535,2,2,6,True,True,True,True,True,3,6955,14676,179,2020-02-20
578,USA/TX-HMH-MCoV-44116/2021,2021-04-28,B.1.1.7,1004502,1,2,7,True,True,True,True,True,4,14121,14676,179,2020-02-20
579,USA/OR-MAP000347/2021,2021-04-05,B.1.1.7,776338,1,2,11,True,True,True,True,True,8,14121,14676,64513,2020-09-14
580,USA/CA-CDC-LC0055825/2021,2021-04-26,P.1.17,979843,1,2,10,True,True,True,True,True,7,14212,14676,179,2020-02-20
581,USA/FL-CDC-LC0037443/2021,2021-03-31,B.1,729479,2,2,11,True,True,True,True,True,8,11006,14676,179,2020-02-20
582,USA/FL-CDC-LC0047740/2021,2021-04-15,B.1.533,878970,1,2,7,True,True,True,True,True,4,12163,14676,179,2020-02-20
583,CzechRepublic/NRL_9031/2021,2021-06-14,B.1.1,1329835,1,2,16,True,True,True,True,True,13,13861,14676,179,2020-02-20
584,USA/WA-UW-68083/2021,2021-03-22,B.1.1.7,642900,5,2,12,True,True,True,True,True,9,12163,14676,179,2020-02-20
585,USA/NY-PRL-2021_03_29_04O20/2021,2021-03-26,B.1,684479,1,2,4,True,True,True,True,True,1,9868,14676,179,2020-02-20
586,USA/WA-UW-21041960171/2021,2021-04-19,B.1.1.7,917148,3,2,7,True,True,True,True,True,4,14647,14676,64513,2020-09-14
587,Germany/BY-RKI-I-034960/2021,2021-03-05,B.1.258,503307,10,2,10,True,True,True,True,True,7,13453,14676,179,2020-02-20
588,USA/NY-PRL-2021_03_15_01D11/2021,2021-03-13,B.1.1,562743,16,2,6,True,True,True,True,False,3,5389,14676,5867,2020-02-22
589,USA/PA-CDC-LC0050659/2021,2021-04-21,B.1.1.7,938141,1,2,6,True,True,True,True,True,3,14121,14676,179,2020-02-20
590,Switzerland/GE-33241883/2021,2021-02-11,B.1.1.7,360767,2,2,12,True,True,True,True,True,9,12120,14676,179,2020-02-20
591,Netherlands/UT-RIVM-13301/2021,2021-02-05,B.1.1.7,324909,8,2,6,True,True,True,True,True,3,12971,14676,3526,2020-03-19
592,Netherlands/ZH-RIVM-12959/2021,2021-02-01,B.1.1.7,305365,42,2,4,True,True,True,True,True,1,6955,14676,179,2020-02-20
593,USA/WA-UW-2021040590967/2021,2021-04-05,B.1.429,777084,3,2,4,True,True,True,True,True,1,12879,14697,112047,2020-10-27
594,England/MILK-140E681/2021,2021-03-17,B.1.1.7,593005,1,2,3,True,True,True,True,True,0,4423,14724,64512,2020-09-30
595,USA/MD-CDC-LC0057861/2021,2021-05-03,B.1.1,1048042,1,2,5,True,True,True,True,True,2,11118,14748,191983,2020-12-18
596,USA/NY-Wadsworth-21059073-01/2021,2021-05-18,B.1.1.7,1172191,2,2,4,True,True,True,True,True,1,14572,14792,178815,2020-12-26
597,USA/NY-PRL-2021_02_19_00O23/2021,2021-02-16,B.1.2,395059,2,2,9,True,True,True,True,False,6,8084,14805,21563,2020-03-22
598,USA/NY-PRL-2021_03_01_01F16/2021,2021-02-25,B.1,453535,1,2,11,True,True,True,True,False,8,8084,14805,21563,2020-03-22
599,Indonesia/JB-EIJK145/2021,2021-01-11,B.1.456,209783,1,2,8,True,True,True,True,True,5,7759,14895,19216,2020-03-24
600,Sweden/9094571941/2021,2021-05-30,B.1.1.7,1241650,3,2,5,True,True,True,True,True,2,11297,14906,64513,2020-09-14
601,Slovenia/08-130879-MB/2021,2021-06-05,B.1.1.7,1284780,1,2,3,True,True,True,True,True,0,11751,15096,64513,2020-09-14
602,Germany/HE-RKI-I-166124/2021,2021-05-25,B.1.1.7,1210586,1,2,31,True,True,True,True,True,28,9762,15096,65357,2020-09-03
603,USA/CA-CDC-QDX26215620/2021,2021-06-24,B.1.1.7,1402738,1,2,8,True,True,True,True,False,5,14677,15096,179,2020-02-20
604,CzechRepublic/191089-21cs/2021,2021-04-21,B.1.1.7,929488,1,2,11,True,True,True,True,True,8,14761,15096,64513,2020-09-14
605,USA/NC-CDC-LC0050570/2021,2021-04-21,B.1.1.7,937544,1,2,3,True,True,True,True,True,0,14121,15096,64513,2020-09-14
606,Switzerland/AG-ETHZ-610118/2021,2021-04-30,B.1.1.7,1020919,1,2,6,True,True,True,True,True,3,9986,15096,64513,2020-09-14
607,USA/WA-UW-21042167353/2021,2021-04-21,B.1.1.7,938799,3,2,5,True,True,True,True,True,2,14121,15096,64513,2020-09-14
608,Germany/NW-RKI-I-128049/2021,2021-04-28,B.1.1.7,997940,1,2,6,True,True,True,True,True,3,5763,15096,43626,2020-08-29
609,USA/NC-CDC-LC0058042/2021,2021-05-02,B.1.1.7,1034643,1,2,5,True,True,True,True,False,2,4457,15096,43626,2020-08-29
610,USA/FL-BPHL-1856/2021,2021-03-18,B.1.533,607920,2,2,11,True,True,True,True,True,8,9121,15096,179,2020-02-20
611,USA/FL-CDC-QDX21671698/2021,2021-02-02,B.1.177,311089,6,2,5,True,True,True,True,True,2,10355,15175,49049,2020-08-19
612,USA/TX-CDC-ASC210058075/2021,2021-05-02,B.1.1.7,1035030,1,2,6,True,True,True,True,True,3,11751,15197,85911,2020-10-06
613,Japan/IC-0524/2020,2020-12-28,P.7,163466,8,2,11,True,True,True,True,True,8,11597,15237,120417,2020-10-11
614,England/QEUH-116EAE0/2021,2021-01-26,B.1.177.16,272662,2,2,4,True,True,True,True,True,1,9204,15240,23479,2020-07-06
615,USA/WY-WPHL-21011347/2021,2021-01-20,B.1.2,247140,1,2,4,True,True,True,True,False,1,6920,15253,21563,2020-03-22
616,USA/KY-CDC-LC0063664/2021,2021-05-18,B.1.1,1171548,1,2,9,True,True,True,True,False,6,14677,15279,179,2020-02-20
617,France/IDF-HMN-21052180352/2021,2021-05-10,B.1,1105438,1,2,11,True,True,True,True,True,8,15097,15279,77527,2020-09-24
618,USA/WA-UW-21051442596/2021,2021-05-14,B.1.1,1142650,1,2,13,True,True,True,True,True,10,14677,15279,179,2020-02-20
619,USA/OR-MAP000388/2021,2021-04-12,B.1.1.7,846594,1,2,10,True,True,True,True,True,7,14677,15279,156824,2020-12-04
620,USA/IL-CDC-LC0050801/2021,2021-04-22,B.1.1.7,946457,1,2,5,True,True,True,True,True,2,14677,15279,179,2020-02-20
621,Slovenia/5C-018582-KP/2021,2021-03-25,B.1.258.17,670434,1,2,8,True,True,True,True,True,5,12989,15279,24089,2020-05-30
622,USA/IL-CDC-LC0035918/2021,2021-03-23,B.1.1,651714,1,2,6,True,True,True,True,True,3,14749,15279,179,2020-02-20
623,Slovenia/17-025890-CE/2021,2021-03-09,B.1.258.17,530786,2,2,7,True,True,True,True,True,4,12989,15279,267231,2021-01-03
624,USA/PA-CDC-LC0038374/2021,2021-04-01,B.1.1.7,742765,4,2,3,True,True,True,True,True,0,14677,15279,85911,2020-10-06
625,Spain/CT-HUVH-97295/2021,2021-02-23,B.1,436673,1,2,12,True,True,True,True,True,9,14677,15279,179,2020-02-20
626,USA/CA-SEARCH-8274/2021,2021-03-05,B.1.1.7,506018,4,2,10,True,True,True,True,False,7,14677,15279,3526,2020-03-19
627,USA/TX-HMH-MCoV-31151/2021,2021-02-26,B.1,460376,1,2,11,True,True,True,True,True,8,15097,15279,179,2020-02-20
628,NewZealand/20CV0663/2020,2020-12-15,B.1.177.86,134637,1,2,5,True,True,True,True,True,2,8984,15324,5867,2020-02-22
629,USA/NC-CDC-LC0078694/2021,2021-06-16,B.1.526,1348628,1,2,6,True,True,True,True,True,3,14572,15360,154345,2020-12-14
630,USA/TX-CDC-QDX23654342/2021,2021-04-05,B.1,776689,1,2,7,True,True,True,True,True,4,12833,15360,179,2020-02-20
631,Mexico/CMX-INER-INMEGEN-00032/2021,2021-03-03,B.1.1,489464,1,2,13,True,True,True,True,True,10,12515,15372,197217,2020-09-04
632,Germany/HE-RKI-I-159066/2021,2021-05-19,B.1.1.7,1175639,6,2,8,True,True,True,True,True,5,11373,15381,64513,2020-09-14
633,Turkey/HSGM-B18943/2021,2021-06-29,AY.122,1442475,1,2,6,True,True,True,True,True,3,8987,15451,694601,2021-03-08
634,Turkey/HSGM-B18818/2021,2021-06-28,B.1.617.2,1430740,1,2,3,True,True,True,True,False,0,11333,15451,5868,2020-02-21
635,Mexico/NLE-/LESPNL-20210512-418/2021,2021-05-07,XB,1083919,3,2,9,True,True,True,True,True,6,9755,15451,179,2020-02-20
636,India/AP-CCMB-CIA2965/2021,2021-05-14,B.1.617.2,1138685,117,2,3,True,True,True,True,True,0,13020,15451,179,2020-02-20
637,Mexico/CMX-INMEGEN-InDRE-04-04-182/2021,2021-04-04,B.1.1.519,760756,1,2,6,True,True,True,True,True,3,15196,15480,223086,2021-01-04
638,USA/NY-CDC-LC0048489/2021,2021-04-14,B.1.1.7,871108,1,2,5,True,True,True,True,True,2,15280,15589,3526,2020-03-19
639,Slovenia/17-017604-KR/2021,2021-03-12,B.1.258.17,555067,3,2,8,True,True,True,True,True,5,12085,15598,60918,2020-10-19
640,USA/NY-PRL-2021_03_12_00H03/2021,2021-03-10,B.1.1.7,541551,7,2,7,True,True,True,True,True,4,14677,15598,179,2020-02-20
641,Germany/SN-RKI-I-028345/2021,2021-02-19,B.1,411967,6,2,6,True,True,True,True,True,3,14698,15598,179,2020-02-20
642,Turkey/HSGM-B18618/2021,2021-06-25,B.1.617.2,1408777,1,2,8,True,True,True,True,True,5,14185,15603,591284,2021-02-27
643,Germany/HE-RKI-I-185059/2021,2021-06-20,AY.36,1368729,3,2,4,True,True,True,True,True,1,8661,15628,752500,2021-03-20
644,Nigeria/NCDC-NR15/2021,2021-06-20,AY.36,1369074,1,2,7,True,True,True,True,True,4,8661,15628,694601,2021-03-08
645,Spain/CT-HUVH-89449/2021,2021-02-18,B,406871,6,2,7,True,True,True,True,True,4,15280,15652,179,2020-02-20
646,USA/MI-CDC-QDX23613934/2021,2021-04-03,B.1.2,757288,2,2,3,True,True,True,True,True,0,13976,15668,23408,2020-06-30
647,Brazil/SP-IB_111202/2021,2021-05-17,P.1,1152413,1,2,4,True,True,True,True,True,1,15213,15672,260431,2021-01-22
648,Spain/CT-HUVH-91020/2021,2021-02-22,B.1.1.7,429479,4,2,6,True,True,True,True,True,3,12971,15720,64512,2020-09-30
649,Germany/ST-RKI-I-026658/2021,2021-02-19,B.1.177,412011,2,2,6,True,True,True,True,True,3,14725,15720,29946,2020-08-29
650,Slovakia/MDX-9-67/2021,2021-06-18,B.1.1.7,1360488,1,2,5,True,True,True,True,True,2,11759,15738,64513,2020-09-14
651,Switzerland/ZH-ETHZ-480541/2021,2021-02-02,B.1.160,310774,2,2,11,True,True,True,True,True,8,13994,15766,179,2020-02-20
652,USA/TX-CDC-FG-038910/2021,2021-06-28,B.1.1.7,1432184,1,2,8,True,True,True,True,True,5,15764,15842,171214,2020-12-31
653,USA/IN-CDC-LC0021607/2021,2021-03-02,B.1.2,483575,1,2,4,True,True,True,True,True,1,13060,15846,1484,2020-03-08
654,Slovenia/17-049841-CE/2021,2021-05-04,B.1.1.7,1056011,2,2,4,True,True,True,True,True,1,7606,15910,64513,2020-09-14
655,USA/AK-PHL9100/2021,2021-05-17,B.1.1.519,1162006,1,2,9,True,True,True,True,True,6,13606,16026,194866,2020-12-11
656,Sweden/1127227955/2021,2021-05-28,B.1.1.7,1232575,2,2,6,True,True,True,True,True,3,11297,16111,64513,2020-09-14
657,USA/CO-CDC-MMB08818492/2021,2021-05-15,B.1.1.7,1146526,3,2,9,True,True,True,True,True,6,15958,16176,3526,2020-03-19
658,USA/MD-CDC-LC0048772/2021,2021-04-16,B.1.637,889231,6,2,9,True,True,True,True,True,6,14121,16176,179,2020-02-20
659,USA/DC-CDC-LC0064310/2021,2021-05-15,B.1.637,1146677,1,2,13,True,True,True,True,True,10,15280,16176,179,2020-02-20
660,USA/WA-UW-21042145386/2021,2021-04-21,B.1.1.7,938761,1,2,13,True,True,True,True,True,10,15280,16176,3526,2020-03-19
661,Switzerland/ZH-ETHZ-570224/2021,2021-04-03,B.1.1.7,755854,1,2,9,True,True,True,True,True,6,15280,16176,64513,2020-09-14
662,USA/NY-PRL-2021_03_15_01I19/2021,2021-03-13,B.1.1.7,562836,4,2,4,True,True,True,True,True,1,15280,16176,179,2020-02-20
663,USA/TX-CDC-ASC210153684/2021,2021-06-20,B,1369891,2,2,4,True,True,True,True,True,1,15280,16176,5867,2020-02-22
664,Slovenia/08-073881-MB/2021,2021-03-19,B.1.1.7,614810,1,2,6,True,True,True,True,True,3,15599,16176,179,2020-02-20
665,Spain/CT-HUVH-79395/2021,2021-03-12,B.1.1.7,555189,2,2,8,True,True,True,True,True,5,15280,16176,3526,2020-03-19
666,Belgium/Jessa_11-2115-002660/2021,2021-04-14,B.1.1.7,861809,1,2,3,True,True,True,True,True,0,14677,16176,179,2020-02-20
667,Netherlands/OV-RIVM-10240/2021,2021-01-08,B.1.177,196669,1,2,6,True,True,True,True,True,3,13189,16178,23479,2020-07-06
668,India/AP-CCMB-BO906/2021,2021-04-12,B.1.617,839958,1,2,10,True,True,True,True,True,7,11838,16293,179,2020-02-20
669,USA/CO-CDC-MMB08796379/2021,2021-05-13,B.1.1.7,1134161,1,2,6,True,True,True,True,True,3,11751,16308,419696,2021-01-24
670,Germany/BW-RKI-I-039526/2021,2021-02-24,B.1,441636,2,2,8,True,True,True,True,False,5,9638,16308,1876,2020-01-12
671,USA/NY-PRL-2021_02_25_00G18/2021,2021-02-22,B.1.1.7,431220,141,2,6,True,True,True,True,True,3,15452,16323,77527,2020-09-24
672,USA/PA-CDC-STM-000007588/2021,2021-01-29,B.1,291371,1,2,5,True,True,True,True,True,2,11196,16329,179,2020-02-20
673,Sweden/21-50734/2021,2021-01-27,B.1.1,278768,1,2,8,True,True,True,True,True,5,11375,16441,179,2020-02-20
674,USA/IL-CDC-LC0058561/2021,2021-05-08,B.1.1.7,1092932,1,2,6,True,True,True,True,True,3,13326,16456,64513,2020-09-14
